Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Nationality,Draft Year,Draft Pick
2022,Obi Toppin,F,81,193,23,NYK,72,1,Dayton,United States,2020 ,8
2022,Juan Toscano-Anderson,F,78,213,28,GSW,73,2,Marquette,United StatesMexico,"2015 NBA Draft, Undrafted",NA
2022,Karl-Anthony Towns,C,84,250,26,MIN,74,6,Kentucky,United StatesDominican Republic,2015 ,1
2022,"Gary Trent, Jr.",SG,77,205,23,TOR,70,3,Duke,United States,2018 ,14
2022,P.J. Tucker,SF,78,245,36,MIA,71,10,Texas,United States,2006 ,10
2022,Rayjon Tucker,SF,75,209,24,"DEN, MIL",5,2,Little Rock,United States,"2019 NBA Draft, Undrafted",NA
2022,Myles Turner,FC,83,250,25,IND,42,6,Texas,United States,2015 ,11
2022,Jonas Valanciunas,C,84,265,29,NOP,74,9,Lietuvos Rytas (Lithuania),Lithuania,2011 ,5
2022,Denzel Valentine,F,76,220,28,"CLE, UTH",24,5,Michigan State,United States,2016 ,14
2022,Fred VanVleet,G,72,200,28,TOR,65,5,Wichita State,United States,"2016 NBA Draft, Undrafted",NA
2022,Jarred Vanderbilt,PF,80,214,22,MIN,74,3,Kentucky,United States,2018 ,22
2022,Devin Vassell,SG,78,195,21,SAS,71,1,Florida State,United States,2020 ,11
2022,Gabe Vincent,G,75,195,25,MIA,68,2,UC Santa Barbara,United StatesNigeria,"2018 NBA Draft, Undrafted",NA
2022,Nikola Vucevic,PF,83,260,31,CHI,73,10,USC,SwitzerlandMontenegro,2011 ,16
2022,Dean Wade,PF,81,219,25,CLE,51,2,Kansas State,United States,"2019 NBA Draft, Undrafted",NA
2022,Franz Wagner,SF,82,225,20,ORL,79,0,Michigan,Germany,2021 ,8
2022,Moe Wagner,PF,83,240,24,ORL,63,3,Michigan,Germany,2018 ,25
2022,Ish Wainright,GF,77,235,27,PHX,45,0,Baylor,United StatesUganda,"2017 NBA Draft, Undrafted",NA
2022,Kemba Walker,G,72,184,31,NYK,37,10,Connecticut,United States,2011 ,9
2022,Lonnie Walker,SG,77,205,23,SAS,70,3,Miami (FL),United States,2018 ,18
2022,M.J. Walker,SF,77,213,23,PHX,2,0,Florida State,United States,"2021 NBA Draft, Undrafted",NA
2022,Tyrone Wallace,G,77,198,27,NOP,6,3,California,United States,2016 ,60
2022,"Derrick Walton, Jr.",PG,72,189,26,DET,3,2,Michigan,United States,"2017 NBA Draft, Undrafted",NA
2022,Brad Wanamaker,SG,75,210,32,"IND, WAS",23,3,Pittsburgh,United States,"2011 NBA Draft, Undrafted",NA
2022,"Duane Washington, Jr.",G,75,210,21,IND,48,0,Ohio State,United States,"2021 NBA Draft, Undrafted",NA
2022,P.J. Washington,PF,79,230,23,CHA,65,2,Kentucky,United States,2019 ,12
2022,Yuta Watanabe,F,80,214,27,TOR,38,3,George Washington,Japan,"2018 NBA Draft, Undrafted",NA
2022,Lindy Waters III,SG,78,210,24,OKC,25,0,Oklahoma State,United States,"2020 NBA Draft, Undrafted",NA
2022,Tremont Waters,PG,70,175,24,"TOR, WAS",3,2,LSU,United StatesPuerto Rico,2019 ,42
2022,Trendon Watford,SF,80,237,21,POR,48,0,LSU,United States,"2021 NBA Draft, Undrafted",NA
2022,Paul Watson,GF,78,210,27,OKC,9,2,Fresno State,United States,"2017 NBA Draft, Undrafted",NA
2022,Quinndary Weatherspoon,SG,76,207,25,GSW,11,2,Mississippi State,United States,2019 ,38
2022,Russell Westbrook,G,75,200,33,LAL,78,13,UCLA,United States,2008 ,4
2022,Coby White,PG,76,195,22,CHI,61,2,North Carolina,United States,2019 ,7
2022,Derrick White,G,76,195,27,"BOS, SAN",75,4,Colorado,United States,2017 ,29
2022,Hassan Whiteside,C,84,265,32,UTA,65,9,Marshall,United States,2010 ,6
2022,Joe Wieskamp,SF,78,210,22,SAS,30,0,Iowa,United States,2021 ,22
2022,Aaron Wiggins,F,78,200,23,OKC,50,0,Maryland,United States,2021 ,50
2022,Andrew Wiggins,F,79,203,27,GSW,73,7,Kansas,Canada,2014 ,1
2022,Lindell Wigginton,SG,73,189,23,MIL,19,0,Iowa State,Canada,"2019 NBA Draft, Undrafted",NA
2022,Brandon Williams,PG,74,190,22,POR,24,0,Arizona,United States,"2021 NBA Draft, Undrafted",NA
2022,Grant Williams,SF,78,236,23,BOS,77,2,Tennessee,United States,2019 ,22
2022,Kenrich Williams,SF,79,210,27,OKC,49,3,Texas Christian,United States,"2018 NBA Draft, Undrafted",NA
2022,Lou Williams,G,73,175,35,ATL,56,16,South Gwinnett High School (Georgia),United States,2005 ,30
2022,Patrick Williams,G,79,215,20,CHI,17,1,Florida State,United States,2020 ,4
2022,Robert Williams,PF,80,240,24,BOS,61,3,Texas A&M,United States,2018 ,27
2022,Ziaire Williams,F,81,185,20,MEM,62,0,Stanford,United States,2021 ,10
2022,D.J. Wilson,F,82,230,26,TOR,4,4,Michigan,United States,2017 ,17
2022,Dylan Windler,SF,78,199,25,CLE,50,2,Belmont,United States,2019 ,26
2022,Justise Winslow,SF,78,222,25,"LAC, POR",48,6,Duke,United States,2015 ,10
2022,Cassius Winston,PG,73,185,24,WAS,7,1,Michigan State,United States,2020 ,46
2022,Christian Wood,PF,82,223,26,HOU,68,5,UNLV,United States,"2015 NBA Draft, Undrafted",NA
2022,Robert Woodard II,G,79,230,22,SAC,12,1,Mississippi State,United States,2020 ,20
2022,McKinley Wright IV,PG,71,192,23,MIN,5,0,Colorado,United States,"2021 NBA Draft, Undrafted",NA
2022,Delon Wright,G,77,185,29,ATL,77,6,Utah,United States,2015 ,20
2022,Moses Wright,FC,80,226,23,"DAL, LAC",4,0,Georgia Tech,United States,"2021 NBA Draft, Undrafted",NA
2022,Gabe York,SG,75,185,28,IND,2,0,Arizona,United States,"2016 NBA Draft, Undrafted",NA
2022,Thaddeus Young,F,80,235,33,"SAN, TOR",52,14,Georgia Tech,United States,2007 ,12
2022,Trae Young,PG,73,180,23,ATL,76,3,Oklahoma,United States,2018 ,5
2022,Omer Yurtseven,C,83,255,23,MIA,56,1,Georgetown,UzbekistanTurkey,"2020 NBA Draft, Undrafted",NA
2022,Cody Zeller,F,83,240,29,POR,27,8,Indiana,United States,2013 ,4
2022,Ivica Zubac,C,84,240,24,LAC,76,5,KK Mega Bemax (Serbia),Bosnia and HerzegovinaCroatia,2016 ,4
2021,Jaylen Adams,PG,72,225,24,MIL,7,1,St. Bonaventure,United States,"2018 NBA Draft, Undrafted",NA
2021,Ty-Shon Alexander,SG,75,195,22,PHX,15,0,Creighton,United States,"2020 NBA Draft, Undrafted",NA
2021,Al-Farouq Aminu,F,81,220,30,"CHI, ORL",23,10,Wake Forest,United StatesNigeria,2010 ,8
2021,Kostas Antetokounmpo,PF,82,200,23,LAL,15,2,Dayton,GreeceUnited States,2018 ,60
2021,Dwayne Bacon,SF,78,221,25,ORL,72,3,Florida State,United States,2017 ,20
2021,Aron Baynes,C,82,260,34,TOR,53,8,Washington State,New ZealandAustralia,"2009 NBA Draft, Undrafted",NA
2021,Tyler Bey,PF,79,215,23,DAL,18,0,Colorado,United States,2020 ,12
2021,Marques Bolden,C,82,249,22,CLE,6,1,Duke,United StatesIndonesia,"2019 NBA Draft, Undrafted",NA
2021,Jordan Bone,SG,74,180,23,ORL,14,1,Tennessee,United States,2019 ,54
2021,Brian Bowen II,SF,79,199,22,IND,6,1,Sydney (Australia),United States,"2019 NBA Draft, Undrafted",NA
2021,Jarrell Brantley,SF,77,250,24,UTA,28,1,Charleston,United States,2019 ,40
2021,Amida Brimah,C,83,230,27,IND,5,0,Connecticut,Ghana,"2017 NBA Draft, Undrafted",NA
2021,Elijah Bryant,SG,77,210,25,MIL,1,0,Brigham Young,United States,"2018 NBA Draft, Undrafted",NA
2021,Bruno Caboclo,PF,81,218,25,HOU,6,6,Pinheiros/Sky (Brazil),Brazil,2014 ,20
2021,Michael Carter-Williams,PG,78,195,29,ORL,31,7,Syracuse,United States,2013 ,11
2021,Quinn Cook,PG,73,180,27,"CLE, LAL",23,4,Duke,United States,"2015 NBA Draft, Undrafted",NA
2021,Nate Darling,SG,77,200,22,CHA,7,0,Delaware,Canada,"2020 NBA Draft, Undrafted",NA
2021,Matt Dellavedova,G,75,200,30,CLE,13,7,Saint Mary's,Australia,"2013 NBA Draft, Undrafted",NA
2021,Jared Dudley,PF,79,237,35,LAL,12,13,Boston College,United States,2007 ,22
2021,Henry Ellenson,PF,82,240,24,TOR,2,4,Marquette,United States,2016 ,18
2021,Dante Exum,PG,77,214,25,CLE,6,6,Australian Institute of Sport (Australian Capital Territory),Australia,2014 ,5
2021,Cristiano Felicio,C,82,275,28,CHI,18,5,Minas (Brazil),Brazil,"2014 NBA Draft, Undrafted",NA
2021,Terrance Ferguson,SG,79,190,22,PHI,13,3,Adelaide (Australia),United States,2017 ,21
2021,Yogi Ferrell,G,72,180,27,"CLE, LAC",10,4,Indiana,United States,"2016 NBA Draft, Undrafted",NA
2021,Robert Franks,PF,79,225,24,ORL,7,1,Washington State,United States,"2019 NBA Draft, Undrafted",NA
2021,Marc Gasol,C,85,255,36,LAL,52,12,CB Girona (Spain),Spain,2007 ,36
2021,Harry Giles,PF,83,240,22,POR,38,3,Duke,United States,2017 ,20
2021,Ashton Hagans,PG,75,190,21,MIN,2,0,Kentucky,United States,"2020 NBA Draft, Undrafted",NA
2021,Donta Hall,PF,81,229,23,ORL,13,1,Alabama,United States,"2019 NBA Draft, Undrafted",NA
2021,Josh Hall,F,81,190,20,OKC,21,0,Moravian Prep (North Carolina),United States,"2020 NBA Draft, Undrafted",NA
2021,Jalen Harris,SG,77,195,22,TOR,13,0,Nevada,United States,2020 ,58
2021,Rondae Hollis-Jefferson,SF,78,217,26,POR,11,5,Arizona,United States,2015 ,23
2021,Ersan Ilyasova,F,82,235,33,UTA,17,13,Alpella B.K. (Turkey),Turkey,2005 ,12
2021,Justin James,SG,79,190,24,SAC,36,1,Wyoming,United States,2019 ,20
2021,Mike James,PG,73,190,30,BRK,13,1,Lamar,United States,"2012 NBA Draft, Undrafted",NA
2021,Mfiondu Kabengele,SF,82,250,23,"CLE, LAC",39,1,Florida State,Canada,2019 ,27
2021,Rodions Kurucs,SF,81,230,23,"BRK, HOU, MIL",21,2,Barca (Spain),Latvia,2018 ,20
2021,T.J. Leaf,PF,82,225,23,POR,7,3,UCLA,United StatesIsrael,2017 ,18
2021,Jalen Lecque,SG,76,185,20,IND,4,1,,United States,"2019 NBA Draft, Undrafted",NA
2021,Kawhi Leonard,F,79,225,29,LAC,52,9,San Diego State,United States,2011 ,15
2021,Meyers Leonard,C,85,255,29,MIA,3,8,Illinois,United States,2012 ,11
2021,Will Magnay,C,82,234,22,NOP,1,0,Brisbane (Australia),Australia,"2018 NBA Draft, Undrafted",NA
2021,Thon Maker,C,84,221,24,CLE,8,4,Athlete Institute Prep (Ontario),South SudanAustralia,2016 ,10
2021,Karim Mane,PG,76,205,20,ORL,10,0,Vanier College (Quebec),Canada,"2020 NBA Draft, Undrafted",NA
2021,Nico Mannion,PG,75,190,19,GSW,30,0,Arizona,ItalyUnited States,2020 ,36
2021,Jeremiah Martin,PG,75,185,24,CLE,9,1,Memphis,United States,"2019 NBA Draft, Undrafted",NA
2021,Frank Mason,G,71,190,26,ORL,4,3,Kansas,United States,2017 ,8
2021,Patrick McCaw,G,79,185,25,TOR,5,4,UNLV,United States,2016 ,16
2021,Sean McDermott,SG,78,195,24,MEM,18,0,Butler,United States,"2020 NBA Draft, Undrafted",NA
2021,Nicolo Melli,PF,81,235,30,"DAL, NOP",45,1,AX Armani Exchange Milan (Italy),Italy,"2013 NBA Draft, Undrafted",NA
2021,Darius Miller,GF,80,225,30,OKC,18,6,Kentucky,United States,2012 ,32
2021,Adam Mokoka,SG,77,215,22,CHI,14,1,KK Mega Bemax (Serbia),France,"2019 NBA Draft, Undrafted",NA
2021,E'Twaun Moore,SG,76,191,32,PHX,27,9,Purdue,United States,2011 ,50
2021,Jamal Murray,SG,76,215,24,DEN,48,4,Kentucky,Canada,2016 ,7
2021,Kendrick Nunn,SG,75,195,25,MIA,56,2,Oakland,United States,"2018 NBA Draft, Undrafted",NA
2021,James Nunnally,F,79,220,30,NOP,9,2,UC Santa Barbara,United States,"2012 NBA Draft, Undrafted",NA
2021,Jahlil Okafor,C,83,275,25,DET,27,5,Duke,United StatesNigeria,2015 ,3
2021,Anzejs Pasecniks,C,85,229,25,WAS,1,1,Gran Canaria (Spain),Latvia,2017 ,25
2021,Patrick Patterson,F,80,235,31,LAC,38,10,Kentucky,United States,2010 ,14
2021,Justin Patton,C,84,241,23,HOU,13,3,Creighton,United States,2017 ,16
2021,Vincent Poirier,C,84,235,27,PHI,10,1,,France,"2015 NBA Draft, Undrafted",NA
2021,Jontay Porter,PF,82,236,21,MEM,11,1,Missouri,United States,"2019 NBA Draft, Undrafted",NA
2021,Chasson Randle,PG,75,185,28,ORL,41,3,Stanford,United States,"2015 NBA Draft, Undrafted",NA
2021,J.J. Redick,G,76,200,36,"DAL, NOP",44,14,Duke,United States,2006 ,11
2021,Cam Reynolds,F,79,225,26,"HOU, SAN",5,2,Tulane,United States,"2018 NBA Draft, Undrafted",NA
2021,Grant Riller,SG,72,195,24,CHA,7,0,Charleston,United States,2020 ,52
2021,Andre Roberson,SG,79,210,29,BRK,5,7,Colorado,United States,2013 ,26
2021,Glenn Robinson,SF,78,222,27,SAC,23,6,Michigan,United States,2014 ,20
2021,Jerome Robinson,SG,76,190,24,WAS,17,2,Boston College,United States,2018 ,13
2021,Luka Samanic,PF,82,227,21,SAS,33,1,Union Olimpija (Slovenia),Croatia,2019 ,19
2021,JaKarr Sampson,F,81,215,27,IND,29,5,St. John's,United States,"2014 NBA Draft, Undrafted",NA
2021,Dario Saric,SF,82,250,26,PHX,50,4,KK Cibona (Croatia),Croatia,2014 ,12
2021,Mike Scott,PF,80,237,32,PHI,51,8,Virginia,United States,2012 ,26
2021,Iman Shumpert,G,77,220,30,BRK,2,9,Georgia Tech,United States,2011 ,17
2021,Ben Simmons,PF,82,240,24,PHI,58,4,LSU,Australia,2016 ,1
2021,Alen Smailagic,PF,82,215,20,GSW,15,1,Santa Cruz Warriors,Serbia,2019 ,18
2021,Raymond Spalding,PF,82,215,23,HOU,2,2,Louisville,United States,2018 ,52
2021,Edmond Sumner,G,76,185,25,IND,53,3,Xavier,United States,2017 ,44
2021,Jeff Teague,PG,75,195,32,"BOS, MIL",55,11,Wake Forest,United States,2009 ,19
2021,Khyri Thomas,SG,75,210,24,HOU,5,2,Creighton,United States,2018 ,16
2021,Sindarius Thornwell,SG,76,215,26,"NOP, ORL",21,2,South Carolina,United States,2017 ,36
2021,Anthony Tolliver,PF,80,245,35,PHI,11,13,Creighton,United States,"2007 NBA Draft, Undrafted",NA
2021,Axel Toupane,SG,79,197,28,MIL,8,2,Strasbourg IG (France),France,"2014 NBA Draft, Undrafted",NA
2021,Anderson Varejao,C,82,273,38,CLE,5,13,Barca (Spain),Brazil,2004 ,2
2021,Noah Vonleh,FC,82,257,25,BRK,4,6,Indiana,United States,2014 ,9
2021,John Wall,PG,75,210,30,HOU,40,10,Kentucky,United States,2010 ,1
2021,T.J. Warren,F,80,222,27,IND,4,6,NC State,United States,2014 ,14
2021,Greg Whittington,PF,80,212,28,DEN,4,0,Georgetown,United States,"2015 NBA Draft, Undrafted",NA
2021,Zion Williamson,PF,78,284,20,NOP,61,1,Duke,United States,2019 ,1
2021,James Wiseman,C,84,258,19,GSW,39,0,Memphis,United States,2020 ,2
2020,Kyle Alexander,PF,82,216,23,MIA,2,0,Tennessee,Canada,"2019 NBA Draft, Undrafted",NA
2020,Kadeem Allen,G,75,200,27,NYK,10,2,Arizona,United States,2017 ,46
2020,Ryan Anderson,PF,82,240,31,HOU,2,11,California,United States,2008 ,21
2020,J.J. Barea,G,70,180,35,DAL,29,13,Northeastern,Puerto RicoUnited States,"2006 NBA Draft, Undrafted",NA
2020,Marco Belinelli,G,77,225,33,SAS,57,12,Fortituto Kontatto Bologna (Italy),Italy,2007 ,18
2020,Dragan Bender,PF,85,235,22,"GOS, MIL",16,3,Maccabi FOX Tel Aviv (Israel),Bosnia and HerzegovinaCroatia,2016 ,4
2020,Jonah Bolden,SF,82,220,24,"PHL, PHX",7,1,FMP Beograd (Serbia),Australia,2017 ,12
2020,Ky Bowman,SG,74,190,22,GSW,45,0,Boston College,United States,"2019 NBA Draft, Undrafted",NA
2020,Corey Brewer,GF,81,186,33,SAC,5,12,Florida,United States,2007 ,7
2020,Ryan Broekhoff,SF,79,215,29,DAL,17,1,Valparaiso,Australia,"2013 NBA Draft, Undrafted",NA
2020,Deonte Burton,F,76,240,26,OKC,39,1,Iowa State,United States,"2017 NBA Draft, Undrafted",NA
2020,DeMarre Carroll,F,80,215,33,"HOU, SAN",24,10,Missouri,United States,2009 ,27
2020,Vince Carter,SF,78,220,43,ATL,60,21,North Carolina,United States,1998 ,5
2020,Tyson Chandler,C,85,240,37,HOU,26,18,Dominguez High School (California),United States,2001 ,2
2020,Wilson Chandler,SF,81,225,32,BRK,35,12,DePaul,United States,2007 ,23
2020,Joe Chealey,PG,76,190,24,CHA,4,1,Charleston,United States,"2018 NBA Draft, Undrafted",NA
2020,Chris Clemons,PG,69,180,22,HOU,33,0,Campbell,United States,"2019 NBA Draft, Undrafted",NA
2020,Antonius Cleveland,G,78,195,26,DAL,11,1,Southeast Missouri State,United States,"2017 NBA Draft, Undrafted",NA
2020,Allen Crabbe,SG,78,212,27,"ATL, MIN",37,6,California,United States,2013 ,2
2020,Jamal Crawford,SG,77,195,39,BRK,1,19,Michigan,United States,2000 ,8
2020,Troy Daniels,G,76,205,28,"DEN, LAL",47,6,VCU,United States,"2013 NBA Draft, Undrafted",NA
2020,Jacob Evans,SG,78,210,22,"GOS, MIN",29,1,Cincinnati,United States,2018 ,28
2020,Michael Frazier,G,76,200,25,HOU,13,1,Florida,United States,"2015 NBA Draft, Undrafted",NA
2020,Treveon Graham,GF,77,225,26,"ATL, MIN",55,3,VCU,United States,"2015 NBA Draft, Undrafted",NA
2020,Jerian Grant,SG,76,198,27,WAS,6,4,Notre Dame,United States,2015 ,19
2020,Josh Gray,G,73,170,26,NOP,2,1,LSU,United States,"2016 NBA Draft, Undrafted",NA
2020,Marko Guduric,SG,78,201,24,MEM,44,0,KK Crvena Zvezda (Serbia),Serbia,"2017 NBA Draft, Undrafted",NA
2020,Devon Hall,SG,77,215,24,OKC,11,0,Virginia,United States,2018 ,46
2020,Dusty Hannahs,GF,75,210,26,MEM,2,1,Arkansas,United States,"2017 NBA Draft, Undrafted",NA
2020,John Henson,PF,83,219,29,"CLE, DET",40,7,North Carolina,United States,2012 ,14
2020,Dewan Hernandez,FC,82,235,23,TOR,6,0,Miami (FL),United States,2019 ,58
2020,Kevin Hervey,PF,81,230,23,OKC,10,0,Texas-Arlington,United States,2018 ,54
2020,Mario Hezonja,SG,80,220,25,POR,53,4,FC Barcelona II (Spain),Croatia,2015 ,5
2020,William Howard,F,80,207,26,HOU,2,0,BCM Gravelines (France),France,"2015 NBA Draft, Undrafted",NA
2020,Jonathan Isaac,SF,82,230,22,ORL,34,2,Florida State,United States,2017 ,6
2020,Amile Jefferson,PF,81,222,26,ORL,18,2,Duke,United States,"2017 NBA Draft, Undrafted",NA
2020,Stanton Kidd,F,79,215,27,UTA,4,0,Colorado State,United States,"2015 NBA Draft, Undrafted",NA
2020,Michael Kidd-Gilchrist,SF,79,232,26,"CHA, DAL",25,7,Kentucky,United States,2012 ,2
2020,Kyle Korver,SF,79,212,38,MIL,58,16,Creighton,United States,2003 ,44
2020,Skal Labissiere,C,83,235,23,POR,33,3,Kentucky,Haiti,2016 ,28
2020,Vic Law,SG,79,200,24,ORL,8,0,Northwestern,United States,"2019 NBA Draft, Undrafted",NA
2020,Courtney Lee,SG,77,215,34,DAL,24,11,Western Kentucky,United States,2008 ,22
2020,Naz Long,PG,76,218,26,IND,5,2,Iowa State,Canada,"2017 NBA Draft, Undrafted",NA
2020,Daryl Macon,PG,75,185,24,MIA,4,1,Arkansas,United States,"2018 NBA Draft, Undrafted",NA
2020,J.P. Macura,SG,77,205,24,CLE,1,1,Xavier,United States,"2018 NBA Draft, Undrafted",NA
2020,Joshua Magette,PG,73,160,30,ORL,8,1,Alabama-Huntsville,United States,"2012 NBA Draft, Undrafted",NA
2020,Ian Mahinmi,C,83,262,33,WAS,38,12,STB Le Havre (France),France,2005 ,28
2020,Luc Mbah a Moute,F,80,230,33,HOU,3,11,UCLA,Cameroon,2008 ,14
2020,Jordan McRae,G,77,179,28,"DEN, DET, WAS",37,3,Tennessee,United States,2014 ,56
2020,Eric Mika,F,82,233,25,SAC,1,0,Brigham Young,United States,"2017 NBA Draft, Undrafted",NA
2020,Malcolm Miller,SF,78,203,26,TOR,28,2,Holy Cross,United States,"2015 NBA Draft, Undrafted",NA
2020,Johnathan Motley,F,82,230,24,LAC,13,2,Baylor,United States,"2017 NBA Draft, Undrafted",NA
2020,Dzanan Musa,SG,81,217,20,BRK,40,1,Cedevita (Croatia),Bosnia and Herzegovina,2018 ,29
2020,Shabazz Napier,PG,73,180,28,"MIN, WAS",56,5,Connecticut,United StatesPuerto Rico,2014 ,24
2020,Joakim Noah,FC,83,230,35,LAC,5,12,Florida,FranceUnited States,2007 ,9
2020,Zach Norvell,SG,77,205,22,"GOS, LAL",5,0,Gonzaga,United States,"2019 NBA Draft, Undrafted",NA
2020,Kyle O'Quinn,F,82,250,29,PHI,29,7,Norfolk State,United States,2012 ,38
2020,Elie Okobo,PG,75,190,22,PHX,55,1,Pau-Orthez (France),France,2018 ,2
2020,Tariq Owens,PF,82,205,24,PHX,3,0,Texas Tech,United States,"2019 NBA Draft, Undrafted",NA
2020,Jeremy Pargo,PG,74,219,33,GSW,3,2,Gonzaga,United States,"2009 NBA Draft, Undrafted",NA
2020,Chandler Parsons,SF,82,230,31,ATL,5,8,Florida,United States,2011 ,16
2020,Shamorie Ponds,SG,73,180,21,TOR,4,0,St. John's,United States,"2019 NBA Draft, Undrafted",NA
2020,Josh Reaves,SG,77,214,22,DAL,4,0,Penn State,United States,"2019 NBA Draft, Undrafted",NA
2020,Thabo Sefolosha,GF,79,220,35,HOU,41,13,Edilnol Pallacanestro Biella (Italy),Switzerland,2006 ,13
2020,Marial Shayok,G,77,198,24,PHI,4,0,Iowa State,Canada,2019 ,48
2020,J.R. Smith,SG,78,225,34,LAL,6,15,Saint Benedict's Preparatory School (New Jersey),United States,2004 ,18
2020,Zhaire Smith,SG,76,199,20,PHI,7,1,Texas Tech,United States,2018 ,16
2020,Omari Spellman,PF,80,245,22,GSW,49,1,Villanova,United States,2018 ,30
2020,Caleb Swanigan,C,81,260,22,"POR, SAC",27,2,Purdue,United States,2017 ,26
2020,Lance Thomas,F,80,240,31,BRK,7,8,Duke,United States,"2010 NBA Draft, Undrafted",NA
2020,Allonzo Trier,SG,77,200,24,NYK,24,1,Arizona,United States,"2018 NBA Draft, Undrafted",NA
2020,Evan Turner,GF,79,220,31,ATL,19,9,Ohio State,United States,2010 ,2
2020,Jarrod Uthoff,F,81,221,26,"MEM, WAS",7,1,Iowa,United States,"2016 NBA Draft, Undrafted",NA
2020,Dion Waiters,SG,76,215,28,"LAL, MIA",10,7,Syracuse,United States,2012 ,4
2020,Johnathan Williams,PF,81,228,24,WAS,15,1,Gonzaga,United States,"2018 NBA Draft, Undrafted",NA
2020,Marvin Williams,SF,81,237,33,"CHA, MIL",58,14,North Carolina,United States,2005 ,2
2020,Nigel Williams-Goss,SG,75,190,25,UTA,10,0,Gonzaga,United States,2017 ,50
2020,Justin Wright-Foreman,SG,74,190,22,UTA,4,0,Hofstra,United States,2019 ,46
2020,Tyler Zeller,C,84,250,30,SAS,2,7,North Carolina,United States,2012 ,17
2020,Ante Zizic,C,83,254,23,CLE,22,2,KK Cibona (Croatia),Croatia,2016 ,23
2019,Alex Abrines,GF,78,190,25,OKC,31,2,Barca (Spain),Spain,2013 ,4
2019,Quincy Acy,F,79,240,28,PHX,10,6,Baylor,United States,2012 ,14
2019,Deng Adel,SF,79,196,22,CLE,19,0,Louisville,South SudanAustralia,"2018 NBA Draft, Undrafted",NA
2019,DeVaughn Akoon-Purcell,GF,78,200,25,DEN,7,0,Illinois State,United States,"2016 NBA Draft, Undrafted",NA
2019,Rawle Alkins,SG,77,225,21,CHI,10,0,Arizona,United States,"2018 NBA Draft, Undrafted",NA
2019,Ike Anigbogu,C,81,252,20,IND,3,1,UCLA,United States,2017 ,34
2019,Ron Baker,G,76,220,25,"NYK, WAS",15,2,Wichita State,United States,"2016 NBA Draft, Undrafted",NA
2019,Wade Baldwin IV,G,76,220,22,POR,16,2,Vanderbilt,United States,2016 ,17
2019,Jerryd Bayless,G,75,210,30,MIN,34,10,Arizona,United States,2008 ,11
2019,Michael Beasley,PF,81,235,30,LAL,26,10,Kansas State,United States,2008 ,2
2019,Dairis Bertans,SG,76,190,29,NOP,12,0,BK Ventspils (Latvia),Latvia,"2011 NBA Draft, Undrafted",NA
2019,Antonio Blakeney,SG,76,197,22,CHI,57,1,LSU,United States,"2017 NBA Draft, Undrafted",NA
2019,Jaron Blossomgame,F,80,220,25,CLE,27,0,Clemson,United States,2017 ,58
2019,Andrew Bogut,C,84,260,34,GSW,11,13,Utah,Australia,2005 ,1
2019,Isaiah Briscoe,PG,75,210,22,ORL,39,0,Kentucky,United States,"2017 NBA Draft, Undrafted",NA
2019,MarShon Brooks,GF,77,200,30,MEM,29,4,Providence,United States,2011 ,25
2019,Lorenzo Brown,SG,77,189,28,TOR,26,4,NC State,United StatesSpain,2013 ,44
2019,Jose Calderon,G,75,200,37,DET,49,13,Baskonia (Spain),Spain,"2003 NBA Draft, Undrafted",NA
2019,Isaiah Canaan,G,72,200,27,"MIL, MIN, PHX",30,5,Murray State,United States,2013 ,8
2019,Omri Casspi,F,81,225,30,MEM,36,9,Maccabi FOX Tel Aviv (Israel),Israel,2009 ,23
2019,Troy Caupain,G,76,210,23,ORL,4,0,Cincinnati,United States,"2017 NBA Draft, Undrafted",NA
2019,Tyler Cavanaugh,F,81,240,25,UTA,11,1,George Washington,United States,"2017 NBA Draft, Undrafted",NA
2019,Ian Clark,G,75,175,27,NOP,60,5,Belmont,United States,"2013 NBA Draft, Undrafted",NA
2019,"Bonzie Colson, Jr.",PF,77,225,23,MIL,8,0,Notre Dame,United States,"2018 NBA Draft, Undrafted",NA
2019,Mitchell Creek,G,78,225,26,"BRK, MIN",5,0,Adelaide (Australia),Australia,"2014 NBA Draft, Undrafted",NA
2019,Dante Cunningham,F,80,230,31,SAS,64,9,Villanova,United States,2009 ,6
2019,Deyonta Davis,PF,81,237,22,ATL,9,2,Michigan State,United States,2016 ,2
2019,Tyler Davis,C,82,266,21,OKC,1,0,Texas A&M,United StatesPuerto Rico,"2018 NBA Draft, Undrafted",NA
2019,Angel Delgado,C,82,230,24,LAC,2,0,Seton Hall,Dominican Republic,"2018 NBA Draft, Undrafted",NA
2019,Luol Deng,GF,81,220,33,MIN,22,14,Duke,EnglandSouth Sudan,2004 ,7
2019,Marcus Derrickson,PF,79,271,23,GSW,11,0,Georgetown,United States,"2018 NBA Draft, Undrafted",NA
2019,Tyler Dorsey,SG,77,183,23,"ATL, MEM",48,1,Oregon,United StatesGreece,2017 ,22
2019,Trevon Duval,PG,75,186,20,MIL,3,0,Duke,United States,"2018 NBA Draft, Undrafted",NA
2019,Vince Edwards,SF,80,225,22,HOU,2,0,Purdue,United States,2018 ,44
2019,Jawun Evans,PG,72,190,22,"OKC, PHX",8,1,Oklahoma State,United States,2017 ,18
2019,Tyreke Evans,G,78,220,29,IND,69,9,Memphis,United States,2009 ,4
